,company,file_no,opened,closed,coverage,sub_coverage,reason,sub_reason,disposition,conclusion,recovery,status,duration,simplified,Annotation
4412,SAFECO Insurance Company of Illinois,7042558,2022-02-01,2022-03-14,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Company Position Substantiated,Company Position Upheld,0.0,Closed,41,Claim Settled,
4413,USAA Casualty Insurance Company,7012188,2019-02-13,2019-03-20,Individual Private Passenger,Physical Damage,Claim Handling,Actual Cash Value Dispute,Company Position Substantiated,,0.0,Closed,35,Claim Settled,
4414,GEICO Indemnity Company,7043569,2022-03-07,2022-05-26,Individual Private Passenger,Comprehensive,Claim Handling,Claim Delays,Company Position Substantiated,Company Position Upheld,0.0,Closed,80,Claim Settled,
4415,Trumbull Insurance Company,7004418,2020-10-28,2020-11-16,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Company Position Substantiated,,0.0,Closed,19,Claim Settled,
4416,Progressive Direct Insurance Company,7041766,2021-12-29,2022-05-27,Individual Private Passenger,Comprehensive,Claim Handling,Claim Procedure,Company Position Substantiated,Company Position Upheld,0.0,Closed,149,Claim Settled,
4417,Omni Insurance Company,7020085,2019-04-05,2019-04-24,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Company Position Substantiated,,0.0,Closed,19,Claim Settled,
4418,Allstate Fire and Casualty Insurance Company,7018777,2019-11-04,2019-11-25,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Company Position Substantiated,,0.0,Closed,21,Claim Settled,
4419,Allstate Insurance Company,7016757,2018-08-23,2018-09-17,Individual Private Passenger,Liability,Claim Handling,Loss of Use,Company Position Substantiated,,0.0,Closed,25,Claim Settled,
4420,Government Employees Insurance Company,7013617,2018-12-03,2018-12-20,Individual Private Passenger,Physical Damage,Claim Handling,Claim Delay,Claim Settled,,0.0,Closed,17,Claim Settled,
4421,"Anthem Health Plans, Inc",7043765,2022-03-15,2022-04-04,Individual,Health Only,Claim Handling,Claim Denial,Company Position Substantiated,,0.0,Closed,20,Claim Settled,
4422,Progressive Casualty Insurance Company,7015764,2018-07-11,2018-07-27,Individual Private Passenger,Physical Damage,Underwriting,No Subreason,Insufficient Information,,0.0,Closed,16,Claim Dismissed,
4423,Aetna Health and Life Insurance Company,7014743,2018-05-02,2018-05-21,Group,Health Only,Claim Handling,Claim Denial,Company Position Substantiated,,0.0,Closed,19,Claim Settled,
4424,LM General Insurance Company,7000785,2020-02-26,2020-03-18,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Claim Settled,,1001.5,Closed,21,Claim Settled,
4425,Progressive Direct Insurance Company,7011907,2018-11-02,2018-12-05,Individual Private Passenger,,Underwriting,Premium & Rating,Company Position Substantiated,,0.0,Closed,33,Claim Settled,
4426,Century&ndash;National Insurance Company,7047114,2022-08-09,2022-09-15,Homeowners,Hazard,Claim Handling,Claim Denial,Company Position Substantiated,Company Position Upheld,0.0,Closed,37,Claim Settled,
4427,ROOT Insurance Company,7052149,2023-02-28,2023-03-16,Individual Private Passenger,Collision,Claim Handling,Claim Delay,Company Position Substantiated,,0.0,Closed,16,Claim Settled,
4428,Connecticut General Life Insurance Company,7041986,2022-01-11,2022-01-31,Group Life,Term,Claim Handling,Claim Procedure,Claim Settled,Claim Paid,0.0,Closed,20,Claim Settled,
4429,Homesite Insurance Company,7055305,2023-06-22,2023-07-21,Homeowners,,Underwriting,Cancellation,Company Position Substantiated,Cancellation Withdrawn,0.0,Closed,29,Claim Settled,
4430,Standard Fire Insurance Company (The),7046119,2022-06-27,2022-07-11,Homeowners,,Claim Handling,Claim Delay,Company Position Substantiated,,0.0,Closed,14,Claim Settled,
4431,Standard Fire Insurance Company (The),7049339,2022-11-13,2023-01-23,Individual Private Passenger,,PolicyHolder Service,Premium/Notice,Company Position Substantiated,Company Position Upheld,0.0,Closed,71,Claim Settled,
4432,USAA Casualty Insurance Company,7019871,2019-08-28,2019-10-28,Individual Private Passenger,Liability,Claim Handling,Claim Procedure,Company Position Substantiated,,0.0,Closed,61,Claim Settled,
4433,Great American Assurance Company,7005016,2020-12-10,2020-12-24,Commercial,Commercial Auto,Claim Handling,Claim Procedure,Company Position Substantiated,Unjustified,0.0,Closed,14,Claim Settled,
4434,"Oxford Health Plans (CT), Inc",7003212,2020-08-11,2020-08-21,Group,Health Only,Claim Handling,Claim Denial,Insufficient Information,,0.0,Closed,10,Claim Dismissed,
4435,GEICO General Insurance Company,7020219,2019-07-22,2019-08-13,Individual Private Passenger,Physical Damage,Claim Handling,Claim Delay,Claim Settled,,28438.74,Closed,22,Claim Settled,
4436,GEICO Indemnity Company,7013056,2018-11-21,2019-01-02,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Claim Settled,,1679.25,Closed,42,Claim Settled,
4437,Hanover American Insurance Company,7009417,2021-07-08,2021-07-23,Individual Private Passenger,Liability,Claim Handling,After Market Parts/Unsatisfactory Settlement,Company Position Substantiated,,0.0,Closed,15,Claim Settled,
4438,UnitedHealthcare Insurance Company,7055852,2023-07-18,2023-07-21,A & H,Health Only,Claim Handling,Medical Necessity,Company Position Overturned,Coverage Granted,0.0,Closed,3,Claim Dismissed,
4439,Homesite Insurance Company,7055435,2023-06-29,2023-07-21,Homeowners,,Claim Handling,Claim Delay,Claim Settled,,0.0,Closed,22,Claim Settled,
4440,SAFECO Insurance Company of Illinois,7014716,2018-10-31,2018-11-23,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Claim Settled,,0.0,Closed,23,Claim Settled,
4441,CSAA Affinity Insurance Company,7045146,2022-05-12,2022-06-29,Individual Private Passenger,Rental Reimbursement,Claim Handling,Adjuster Handling,Company Position Substantiated,Contract Provision,0.0,Closed,48,Claim Settled,
4442,State Farm Mutual Automobile Insurance Company,7022022,2019-05-09,2019-06-04,Individual Private Passenger,,Claim Handling,Unsatisfactory Settlement/Offer,Claim Settled,,0.0,Closed,26,Claim Settled,
4443,Aetna Health Inc,7008062,2018-02-14,2018-03-27,Individual,Dental,Claim Handling,Claim Denial,Company Position Substantiated,,0.0,Closed,41,Claim Settled,
4444,Plymouth Rock Home Assurance Corporation,7040745,2021-11-10,2021-12-17,Homeowners,,Claim Handling,Adjuster Handling,Company Position Substantiated,Contract Provision,0.0,Closed,37,Claim Settled,
4445,USAA Casualty Insurance Company,7051354,2023-02-02,2023-02-28,Individual Private Passenger,Collision,Claim Handling,Claim Denial,Company Position Substantiated,,0.0,Closed,26,Claim Settled,
4446,Plymouth Rock Home Assurance Corporation,7010792,2021-03-02,2021-03-18,Homeowners,Homeowners,PolicyHolder Service,Premium Notice/Billing,Company Position Substantiated,Satisfactory Explanation,0.0,Closed,16,Claim Settled,
4447,"Cigna HealthCare of Connecticut, Inc",7020960,2019-07-30,2019-08-28,Individual,Dental,Claim Handling,Claim Delay,Claim Settled,,7332.3,Closed,29,Claim Settled,
4448,Polish National Alliance of the United States of North America,7018608,2019-10-30,2020-02-04,Individual Annuities,,Marketing & Sales,Misleading Advertising,No Action Requested/Required,,0.0,Closed,97,Claim Dismissed,
4449,Progressive Direct Insurance Company,7021464,2019-07-01,2019-08-01,Individual Private Passenger,,PolicyHolder Service,Premium Notice/Billing,Company Position Substantiated,,0.0,Closed,31,Claim Settled,
4450,ConnectiCare Inc,7018232,2019-12-05,2020-04-23,Group,Health Only,Claim Handling,Claim Denial,Claim Settled,,6956.69,Closed,140,Claim Settled,
4451,Plymouth Rock Home Assurance Corporation,7044547,2022-04-20,2022-05-18,Homeowners,,Claim Handling,Adjuster Handling,Company Position Substantiated,,0.0,Closed,28,Claim Settled,
4452,Plymouth Rock Home Assurance Corporation,7044769,2022-04-28,2022-05-23,Homeowners,,Underwriting,Premium & Rating,Company Position Substantiated,Company Position Upheld,0.0,Closed,25,Claim Settled,
4453,Plymouth Rock Home Assurance Corporation,7044430,2022-04-14,2022-05-31,Homeowners,,Claim Handling,Denial,Company Position Substantiated,Company Position Upheld,0.0,Closed,47,Claim Settled,
4454,State Farm Mutual Automobile Insurance Company,7049024,2022-10-31,2022-11-15,Individual Private Passenger,Liability,Claim Handling,Claim Denial,Company Position Substantiated,,0.0,Closed,15,Claim Settled,
4455,"Anthem Health Plans, Inc",7020664,2019-04-16,2019-05-01,Group,Health Only,Claim Handling,Claim Denial,Claim Settled,,278.4,Closed,15,Claim Settled,
4456,"Delta Dental of Connecticut, Inc.",7043003,2022-02-14,2022-05-20,Group,Dental,Claim Handling,Unsatisfactory Settlement,Claim Settled,Additional Money Received,38.8,Closed,95,Claim Settled,
4457,Jefferson Insurance Company,7001516,2020-04-08,2020-05-04,Travel,,Claim Handling,Claim Denial,Company Position Substantiated,,0.0,Closed,26,Claim Settled,
4458,"Anthem Health Plans, Inc",7003130,2020-08-04,2020-08-18,Individual,Dental,Claim Handling,Claim Denial,Claim Settled,,832.2,Closed,14,Claim Settled,
4459,GEICO General Insurance Company,7003900,2020-09-28,2020-10-20,Individual Private Passenger,Liability,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,,0.0,Closed,22,Claim Settled,
4460,Lincoln National Life Insurance Company (The),7007695,2021-09-14,2021-10-12,Individual Life,,Claim Handling,Claim Delay,Claim Settled,,0.0,Closed,28,Claim Settled,
4461,ConnectiCare Inc,7007314,2021-09-09,2021-09-28,Group,Health Only,PolicyHolder Service,Unsatisfactory Refund of Premium,No Action Requested/Required,,1234.64,Closed,19,Claim Dismissed,
4462,Trumbull Insurance Company,7044300,2022-04-08,2022-04-22,Homeowners,Windstorm,Claim Handling,Claim Denial,Company Position Substantiated,,0.0,Closed,14,Claim Settled,
4463,Integon National Insurance Company,7011116,2021-07-12,2021-07-23,Homeowners,Homeowners,Claim Handling,Claim Denial,Company Position Substantiated,,0.0,Closed,11,Claim Settled,
4464,Arch Insurance Company,7050628,2023-01-09,2023-03-07,Travel,,Claim Handling,Claim Delay,Claim Settled,Claim Paid,0.0,Closed,57,Claim Settled,
4465,"Anthem Health Plans, Inc",7009154,2021-05-14,2021-06-02,A & H,,Claim Handling,Claim Denial,Insufficient Information,,0.0,Closed,19,Claim Dismissed,
4466,Chubb Indemnity Insurance Company,7040777,2021-11-10,2021-12-23,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Company Position Substantiated,Company Position Upheld,0.0,Closed,43,Claim Settled,
4467,Government Employees Insurance Company,7041815,2022-01-03,2022-01-18,Individual Private Passenger,,Underwriting,Excessive Charges,Company Position Substantiated,Company Position Upheld,0.0,Closed,15,Claim Settled,
4468,Nationwide Property & Casualty Insurance Company,7049788,2022-11-30,2022-12-07,Homeowners,,Claim Handling,Claim Denial,Company Position Substantiated,Company Position Upheld,0.0,Closed,7,Claim Settled,
4469,Aetna Life Insurance Company,7021161,2019-08-01,2019-08-19,Group,Health Only,Claim Handling,Claim Denial,Insufficient Information,,0.0,Closed,18,Claim Dismissed,
4470,Progressive Casualty Insurance Company,7006905,2021-09-01,2021-09-21,Individual Private Passenger,Liability,Claim Handling,Claim Denial,Company Position Substantiated,,0.0,Closed,20,Claim Settled,
4471,"Anthem Health Plans, Inc",7009050,2021-02-01,2021-02-17,A & H,,Claim Handling,Claim Denial,Claim Settled,,406.0,Closed,16,Claim Settled,
4472,Hanover Insurance Company (The),7043397,2022-02-28,2022-03-21,Individual Private Passenger,Liability,Claim Handling,Claim Denial,Company Position Substantiated,Refer&ndash;Judicial/Attorney,0.0,Closed,21,Claim Settled,
4473,Great Northern Insurance Company,7049330,2022-11-11,2023-01-19,Individual Private Passenger,Collision,Claim Handling,Adjuster Handling,Company Position Substantiated,Claim Paid,0.0,Closed,69,Claim Settled,
4474,Liberty Mutual Personal Insurance Company,7049884,2022-12-05,2023-01-05,Individual Private Passenger,Liability,Claim Handling,Adjuster Handling,Company Position Substantiated,Company Position Upheld,0.0,Closed,31,Claim Settled,
4475,Athene Annuity and Life Company,7040976,2021-11-18,2021-12-14,Individual Annuities,Variable,PolicyHolder Service,Coverage Question,Company Position Substantiated,Company Position Upheld,0.0,Closed,26,Claim Settled,
4476,Arbella Protection Insurance Company Inc.,7006887,2018-03-08,2018-05-10,Individual Private Passenger,Liability,Claim Handling,Loss of Use,Claim Settled,,1098.88,Closed,63,Claim Settled,
4477,Permanent General Assurance Corporation,7050377,2022-12-28,2023-01-23,Individual Private Passenger,Collision,Claim Handling,Claim Procedure,Company Position Substantiated,Company Position Upheld,0.0,Closed,26,Claim Settled,
4478,GEICO General Insurance Company,7021534,2019-08-07,2019-09-09,Individual Private Passenger,Physical Damage,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,,0.0,Closed,33,Claim Settled,
4479,State Farm Fire & Casualty Company,7013564,2018-10-15,2018-11-09,Commercial Multi&ndash;Peril,Commercial Fire,Claim Handling,Claim Denial,Company Position Substantiated,,0.0,Closed,25,Claim Settled,
4480,UnitedHealthcare Insurance Company,7050668,2023-01-10,2023-02-09,Group,Health Only,Claim Handling,"Co&ndash;pay, Deductible, and Co&ndash;Insurance Issues",Company Position Overturned,,0.0,Closed,30,Claim Dismissed,
4481,"Anthem Health Plans, Inc",7012041,2018-09-20,2018-10-10,Individual,Dental,Claim Handling,Claim Denial,Claim Settled,,640.5,Closed,20,Claim Settled,
4482,Allstate Fire and Casualty Insurance Company,7011012,2021-05-04,2021-05-21,Individual Private Passenger,Liability,Claim Handling,Claim Denial,Company Position Substantiated,,0.0,Closed,17,Claim Settled,
4483,GEICO General Insurance Company,7048897,2022-10-25,2022-11-28,Individual Private Passenger,Liability,Claim Handling,Adjuster Handling,Company Position Substantiated,Enter Arbitration,0.0,Closed,34,Claim Settled,
4484,State Farm Fire & Casualty Company,7049661,2022-11-23,2022-12-27,Individual Private Passenger,Liability,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Company Position Upheld,0.0,Closed,34,Claim Settled,
4485,Trumbull Insurance Company,7015807,2018-08-27,2018-09-14,Individual Private Passenger,,Underwriting,Cancellation,Company Position Substantiated,,0.0,Closed,18,Claim Settled,
4486,Oxford Life Insurance Company,7041116,2021-11-24,2021-12-17,Individual Annuities,Fixed,PolicyHolder Service,Delays/No Response,Company Position Substantiated,Furnished Information,0.0,Closed,23,Claim Settled,
4487,Encompass Indemnity Company,7041485,2021-12-15,2022-02-07,Homeowners,Hazard,Claim Handling,Claim Denial,Company Position Substantiated,Contract Provision,0.0,Closed,54,Claim Settled,
4488,SAFECO Insurance Company of Illinois,7008611,2018-01-31,2018-03-19,Individual Private Passenger,Physical Damage,Claim Handling,Actual Cash Value Dispute,Company Position Substantiated,,0.0,Closed,47,Claim Settled,
4489,Allstate Property and Casualty Insurance Company,7045837,2022-06-13,2022-07-01,Individual Private Passenger,,PolicyHolder Service,Premium/Notice,Company Position Substantiated,Company Position Upheld,0.0,Closed,18,Claim Settled,
4490,Liberty Mutual Fire Insurance Company,7000435,2020-02-04,2020-02-25,Individual Private Passenger,Liability,Claim Handling,Claim Procedure,Company Position Substantiated,,0.0,Closed,21,Claim Settled,
4491,Progressive Casualty Insurance Company,7021085,2019-06-25,2019-07-31,Individual Private Passenger,,Underwriting,Premium & Rating,Company Position Substantiated,,0.0,Closed,36,Claim Settled,
4492,Allstate Fire and Casualty Insurance Company,7009202,2021-07-02,2021-07-08,Individual Private Passenger,,PolicyHolder Service,Premium Notice/Billing,Company Position Substantiated,,0.0,Closed,6,Claim Settled,
4493,SAFECO Insurance Company of Illinois,7021259,2019-04-26,2019-06-18,Individual Private Passenger,Liability,Claim Handling,Contributory Comparative Negligence,Company Position Substantiated,,0.0,Closed,53,Claim Settled,
4494,Steadfast Insurance Company,7017156,2018-08-17,2018-09-06,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Claim Settled,,0.0,Closed,20,Claim Settled,
4495,Massachusetts Bay Insurance Company,7014512,2018-10-29,2018-11-14,Homeowners,Homeowners,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Unjustified,0.0,Closed,16,Claim Settled,
4496,USAA Casualty Insurance Company,7048300,2022-09-29,2022-11-02,Homeowners,Hazard,Claim Handling,Claim Denial,Company Position Substantiated,Contract Provision,0.0,Closed,34,Claim Settled,
4497,Protective Insurance Company,7020229,2019-09-13,2019-10-03,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Claim Settled,,0.0,Closed,20,Claim Settled,
4498,Cigna Health and Life Insurance Company,7006185,2021-10-08,2021-12-01,Group,Disability Income,Claim Handling,Claim Denial,Company Position Substantiated,,0.0,Closed,54,Claim Settled,
4499,SAFECO Insurance Company of Illinois,7014205,2018-12-13,2019-01-11,Individual Private Passenger,,Underwriting,Premium & Rating,Company Position Substantiated,,0.0,Closed,29,Claim Settled,
4500,GEICO Indemnity Company,7005834,2017-12-12,2018-02-13,Individual Private Passenger,Liability,Underwriting,Cancellation,Company Position Substantiated,Unjustified,0.0,Closed,63,Claim Settled,
4501,Massachusetts Bay Insurance Company,7008562,2017-12-11,2018-01-02,Homeowners,Homeowners,Claim Handling,Unsatisfactory Settlement/Offer,Compromised Settlement/Resolution,Unjustified,0.0,Closed,22,Claim Settled,
4502,GEICO Indemnity Company,7005521,2021-01-19,2021-02-09,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Claim Settled,,0.0,Closed,21,Claim Settled,
4503,Massachusetts Bay Insurance Company,7009930,2021-05-28,2021-06-23,Homeowners,Homeowners,PolicyHolder Service,Premium Notice/Billing,Company Position Substantiated,Satisfactory Explanation,0.0,Closed,26,Claim Settled,
4504,SAFECO Insurance Company of Illinois,7010598,2021-03-01,2021-03-17,Individual Private Passenger,Liability,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,,0.0,Closed,16,Claim Settled,
4505,Nationwide Insurance Company of America,7002619,2020-06-29,2020-07-09,Individual Private Passenger,,Claim Handling,Unsatisfactory Settlement/Offer,Claim Settled,,0.0,Closed,10,Claim Settled,
4506,GEICO Indemnity Company,7011993,2019-02-11,2019-03-05,Individual Private Passenger,,PolicyHolder Service,Premium Notice/Billing,Compromised Settlement/Resolution,,0.0,Closed,22,Claim Settled,
4507,Merrimack Mutual Fire Insurance Company,7017636,2018-05-11,2018-05-25,Homeowners,Homeowners,Claim Handling,Claim Denial,Company Position Substantiated,,0.0,Closed,14,Claim Settled,
4508,Massachusetts Bay Insurance Company,7042552,2022-02-01,2022-04-14,Homeowners,,Claim Handling,Unsatisfactory Settlement,Company Position Substantiated,Company Position Upheld,0.0,Closed,72,Claim Settled,
4509,GEICO General Insurance Company,7008570,2017-12-11,2018-02-09,Individual Private Passenger,Physical Damage,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,,0.0,Closed,60,Claim Settled,
4510,Liberty Mutual Personal Insurance Company,7010571,2021-08-06,2021-09-08,Individual Private Passenger,Physical Damage,Claim Handling,Unsatisfactory Settlement/Offer,Claim Settled,,0.0,Closed,33,Claim Settled,
4511,Cigna Health and Life Insurance Company,7004899,2020-11-04,2020-11-23,Individual,Dental,Claim Handling,Claim Denial,Company Position Substantiated,,0.0,Closed,19,Claim Settled,
4512,Liberty Mutual Fire Insurance Company,7015638,2018-08-21,2018-09-11,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Claim Settled,,0.0,Closed,21,Claim Settled,
4513,Old Dominion Insurance Company,7003716,2020-09-14,2020-09-29,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Company Position Substantiated,,0.0,Closed,15,Claim Settled,
4514,USAA Casualty Insurance Company,7013837,2019-01-23,2019-02-15,Individual Private Passenger,Liability,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,,0.0,Closed,23,Claim Settled,
4515,Progressive Casualty Insurance Company,7006908,2021-09-01,2021-10-05,Individual Private Passenger,Liability,Claim Handling,After Market Parts/Unsatisfactory Settlement,Company Position Substantiated,,0.0,Closed,34,Claim Settled,
4516,Farmers Group Property and Casualty Insurance Company,7002749,2020-06-08,2020-06-22,Individual Private Passenger,Physical Damage,Claim Handling,Claim Denial,Company Position Substantiated,,0.0,Closed,14,Claim Settled,
4517,Trumbull Insurance Company,7044974,2022-05-07,2022-05-27,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Company Position Substantiated,,0.0,Closed,20,Claim Settled,
4518,Brotherhood Mutual Insurance Company,7002912,2020-07-21,2020-08-07,Commercial Multi&ndash;Peril,Commercial Multi&ndash;Peril,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Unjustified,0.0,Closed,17,Claim Settled,
4519,Life Insurance Company of North America,7007838,2018-01-23,2018-02-06,Group,Disability Income,Claim Handling,Claim Denial,No Action Requested/Required,,0.0,Closed,14,Claim Dismissed,
4520,State Farm Mutual Automobile Insurance Company,7042223,2022-01-20,2022-02-08,Individual Private Passenger,Collision,Claim Handling,Claim Delays,Claim Settled,Claim Paid,17737.6,Closed,19,Claim Settled,
4521,CSAA Affinity Insurance Company,7014575,2018-12-19,2019-01-25,Individual Private Passenger,,Underwriting,Premium & Rating,Company Position Substantiated,,0.0,Closed,37,Claim Settled,
4522,GEICO General Insurance Company,7043849,2022-03-18,2022-03-30,Individual Private Passenger,Collision,Claim Handling,Subrogation,Company Position Substantiated,,0.0,Closed,12,Claim Settled,
4523,Progressive Direct Insurance Company,7048766,2022-10-20,2022-11-28,Individual Private Passenger,,Underwriting,Premium & Rating,Company Position Substantiated,Premium Refund,0.0,Closed,39,Claim Settled,
4524,USAA General Indemnity Company,7000858,2020-03-02,2020-04-21,Individual Private Passenger,Physical Damage,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,,0.0,Closed,50,Claim Settled,
4525,National General Assurance Company,7041136,2021-11-26,2022-01-12,Individual Private Passenger,,Claim Handling,Claim Delay,Complaint Withdrawn,No Cause For Action,0.0,Closed,47,Claim Dismissed,
4526,Greenwich Insurance Company,7042086,2022-01-14,2022-01-26,Commercial,Commercial Auto,Claim Handling,Adjuster Handling,Company Position Substantiated,Company Position Upheld,0.0,Closed,12,Claim Settled,
4527,Esurance Insurance Company,7044856,2022-05-03,2022-05-27,Individual Private Passenger,Liability,Claim Handling,After Market Parts/Unsatisfactory Settlement,Company Position Substantiated,Company Position Upheld,0.0,Closed,24,Claim Settled,
4528,Allstate Fire and Casualty Insurance Company,7011934,2018-12-21,2019-03-01,Individual Private Passenger,Liability,Claim Handling,After Market Parts/Unsatisfactory Settlement,Claim Settled,,0.0,Closed,70,Claim Settled,
4529,Standard Fire Insurance Company (The),7051823,2023-02-16,2023-03-08,Individual Private Passenger,Liability,Claim Handling,Claim Denial,Company Position Substantiated,Refer&ndash;Judicial/Attorney,0.0,Closed,20,Claim Settled,
4530,Farmers Property and Casualty Insurance Company,7010148,2021-07-16,2021-09-07,Commercial Multi&ndash;Peril,Condo Association,Claim Handling,Claim Denial,Company Position Substantiated,,0.0,Closed,53,Claim Settled,
4531,"Harvard Pilgrim Health Care, Inc.",7041759,2021-12-29,2022-01-19,A & H,A & H,Claim Handling,Eligibility of Provider,Company Position Substantiated,Company Position Upheld,0.0,Closed,21,Claim Settled,
4532,State Farm Fire & Casualty Company,7055276,2023-06-22,2023-07-21,Individual Private Passenger,Collision,Underwriting,Rescission,Company Position Substantiated,,0.0,Closed,29,Claim Settled,
4533,"Harvard Pilgrim Health Care, Inc.",7044318,2022-04-08,2022-05-20,A & H,A & H,Claim Handling,Claim Handling Other,Company Position Substantiated,Company Position Upheld,0.0,Closed,42,Claim Settled,
4534,Continental Casualty Company,7045639,2022-06-02,2022-06-17,Professional/E&O,,Underwriting,Nonrenewal,Company Position Substantiated,Non&ndash;Renewal Upheld,0.0,Closed,15,Claim Settled,
4535,Integon National Insurance Company,7010226,2021-02-22,2021-02-26,Individual Private Passenger,Physical Damage,Claim Handling,Claim Denial,Company Position Substantiated,,0.0,Closed,4,Claim Settled,
4536,Century&ndash;National Insurance Company,7000377,2020-02-03,2020-02-27,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Claim Settled,,0.0,Closed,24,Claim Settled,
4537,Government Employees Insurance Company,7016086,2018-06-05,2018-06-20,Individual Private Passenger,Physical Damage,Claim Handling,Claim Procedure,Claim Settled,,0.0,Closed,15,Claim Settled,
4538,Guardian Life Insurance Company of America,7018886,2019-11-07,2019-11-26,Individual,Dental,Claim Handling,Claim Denial,Claim Settled,,262.5,Closed,19,Claim Settled,
4539,State Farm Mutual Automobile Insurance Company,7005585,2020-12-28,2021-01-13,Individual Private Passenger,Liability,Claim Handling,Diminished Value,Company Position Substantiated,,0.0,Closed,16,Claim Settled,
4540,"Oxford Health Plans (CT), Inc",7000198,2020-01-06,2020-01-23,Group,Health Only,Claim Handling,Claim Denial,Claim Settled,,227.0,Closed,17,Claim Settled,
4541,GEICO Casualty Company,7041481,2021-12-15,2022-05-16,Homeowners,,Claim Handling,Unsatisfactory Settlement/Offer,Complaint Withdrawn,No Cause For Action,0.0,Closed,152,Claim Dismissed,
4542,LM General Insurance Company,7041304,2021-12-07,2022-05-27,Individual Private Passenger,Liability,Claim Handling,Claim Delays,Company Position Substantiated,Company Position Upheld,0.0,Closed,171,Claim Settled,
4543,CSAA Affinity Insurance Company,7018454,2019-12-13,2019-12-31,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Company Position Substantiated,,0.0,Closed,18,Claim Settled,
4544,LM General Insurance Company,7015535,2018-05-29,2018-06-20,Individual Private Passenger,Physical Damage,Claim Handling,Labor Rate,Company Position Substantiated,,0.0,Closed,22,Claim Settled,
4545,Ironshore Specialty Insurance Company,7021678,2019-07-08,2019-08-12,Individual Private Passenger,Liability,Underwriting,Audit Dispute,Company Position Substantiated,,0.0,Closed,35,Claim Settled,
4546,GEICO Indemnity Company,7010863,2021-05-04,2021-05-19,Individual Private Passenger,Liability,Claim Handling,Claim Denial,Claim Settled,,2510.02,Closed,15,Claim Settled,
4547,Property and Casualty Insurance Company of Hartford,7050300,2022-12-22,2023-01-24,Renter/Tenants,Hazard,Claim Handling,Claim Denial,Company Position Substantiated,Contract Provision,0.0,Closed,33,Claim Settled,
4548,New London County Mutual Insurance Company,7040871,2021-11-15,2021-12-29,Renter/Tenants,,Claim Handling,Claim Procedure,Company Position Substantiated,Refer To Appraisal,0.0,Closed,44,Claim Settled,
4549,American General Life Insurance Company,7005993,2021-10-07,2021-12-20,Individual Annuities,Fixed,Claim Handling,Claim Delay,Claim Settled,Claim Paid With Interest,0.0,Closed,74,Claim Settled,
4550,Bankers Life and Casualty Company,7013541,2018-10-12,2018-11-13,Individual,Long Term Care,Claim Handling,Claim Delay,Claim Settled,,12000.0,Closed,32,Claim Settled,
4551,Connecticut Attorneys Title Insurance Company,7006666,2018-02-27,2018-03-19,Title,,Claim Handling,Claim Denial,Company Position Substantiated,,0.0,Closed,20,Claim Settled,
4552,State Farm Fire & Casualty Company,7014791,2018-05-14,2018-05-31,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Company Position Substantiated,,0.0,Closed,17,Claim Settled,
4553,Underwriters at Lloyds London,7042784,2022-02-07,2022-03-18,Builder&squo;s Risk,Fire &ndash; Real Property,Claim Handling,Claim Denial,Company Position Substantiated,Contract Provision,0.0,Closed,39,Claim Settled,
4554,Bankers Standard Insurance Company,7006694,2018-02-27,2018-04-02,Homeowners,Homeowners,Underwriting,Premium & Rating,Company Position Substantiated,Other [Enter Disposition],0.0,Closed,34,Claim Settled,
4555,GEICO Indemnity Company,7013008,2018-10-05,2018-10-24,Individual Private Passenger,Liability,Claim Handling,Claim Denial,Company Position Substantiated,,0.0,Closed,19,Claim Settled,
4556,Talcott Resolution Life Insurance Company,7046168,2022-06-28,2022-07-11,Individual Life,Whole Life,PolicyHolder Service,Payment Not Credited,No Action Requested/Required,Satisfactory Explanation,0.0,Closed,13,Claim Dismissed,
