,company,file_no,opened,closed,coverage,sub_coverage,reason,sub_reason,disposition,conclusion,recovery,status,duration
27513,Underwriters at Lloyds London,7009425,7/9/2021,7/27/2021,"Fire, Allied Lines",Commercial Fire,Claim Handling,Claim Delay,Company Position Substantiated,Company Position Upheld,0,Closed,18
27515,"Anthem Health Plans, Inc",7011576,3/15/2021,3/26/2021,A & H,Liability,Claim Handling,Claim Denial,Question of Fact/Contract/Provision/Legal Issue,Company Position Upheld,0,Closed,11
27517,Infinity Standard Insurance Company,7010829,5/3/2021,6/28/2021,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Company Position Substantiated,Company Position Upheld,0,Closed,56
27519,American Security Insurance Company,7009762,7/22/2021,8/11/2021,Homeowners,Homeowners,Claim Handling,Claim Denial,Question of Fact/Contract/Provision/Legal Issue,Company Position Upheld,0,Closed,20
27521,Progressive Direct Insurance Company,7019371,5/28/2019,6/18/2019,Individual Private Passenger,Liability,Claim Handling,Claim Denial,Compromised Settlement/Resolution,Company Position Upheld,2800,Closed,21
27522,Allstate Insurance Company,7008799,3/29/2021,4/20/2021,Individual Private Passenger,Physical Damage,Claim Handling,Loss of Use,Question of Fact/Contract/Provision/Legal Issue,Company Position Upheld,0,Closed,22
27524,Travelers Casualty Company (The),7046958,8/2/2022,8/8/2022,Workers&squo; Compensation,Liability,Underwriting,Audit Dispute,Complaint Withdrawn,No Cause For Action,0,Closed,6
27525,Progressive Casualty Insurance Company,7005600,12/28/2020,1/21/2021,Commercial Multi&ndash;Peril,Commercial Multi&ndash;Peril,Underwriting,Underwriting Delays,Company Position Substantiated,Company Position Upheld,0,Closed,24
27527,State Farm Fire & Casualty Company,7004099,10/9/2020,11/25/2020,Homeowners,Homeowners,Claim Handling,Claim Delay,Company Position Substantiated,Corrective Action,0,Closed,47
27529,Zurich American Insurance Company,7048428,10/4/2022,11/28/2022,Pet Insurance,Liability,Claim Handling,Denial,Company Position Substantiated,Company Position Upheld,0,Closed,55
27530,National Liability & Fire Insurance Company,7019666,8/26/2019,10/28/2019,Commercial,Commercial Auto,PolicyHolder Service,Unsatisfactory Refund of Premium,Company Position Substantiated,Company Position Upheld,0,Closed,63
27531,State Farm Mutual Automobile Insurance Company,7002127,5/20/2020,6/8/2020,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Company Position Substantiated,Justified,0,Closed,19
27532,Farmers Group Property and Casualty Insurance Company,7021592,9/3/2019,9/10/2019,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Company Position Substantiated,No Action Necessary,0,Closed,7
27535,Massachusetts Bay Insurance Company,7013697,2/25/2019,3/21/2019,Homeowners,Homeowners,Claim Handling,Claim Denial,Question of Fact/Contract/Provision/Legal Issue,Company Position Upheld,0,Closed,24
27536,American Commerce Insurance Company,7008640,8/12/2021,11/29/2021,Homeowners,Homeowners,Claim Handling,Claim Delay,Company Position Substantiated,Company Position Upheld,0,Closed,109
27538,Progressive Direct Insurance Company,7016350,7/19/2018,8/1/2018,Individual Private Passenger,Liability,Claim Handling,After Market Parts/Unsatisfactory Settlement,Company Position Substantiated,Company Position Upheld,0,Closed,13
27539,"Anthem Health Plans, Inc",7046337,7/6/2022,7/11/2022,Individual Private Passenger,Unknown,Claim Handling,CPT Code Issue,Question of Fact/Contract/Provision/Legal Issue,Company Position Upheld,0,Closed,5
27541,LM General Insurance Company,7000900,2/20/2020,3/16/2020,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Company Position Substantiated,Company Position Upheld,0,Closed,25
27542,GEICO Indemnity Company,7001454,4/6/2020,4/24/2020,Individual Private Passenger,Liability,Underwriting,Premium & Rating,Company Position Substantiated,Company Position Upheld,0,Closed,18
27543,Progressive Casualty Insurance Company,7047236,8/15/2022,9/7/2022,Individual Private Passenger,Liability,Claim Handling,Claim Denial,Company Position Substantiated,Refer&ndash;Judicial/Attorney,0,Closed,23
27544,Amica Mutual Insurance Company,7014669,9/14/2018,10/9/2018,Individual Private Passenger,Physical Damage,Underwriting,Premium & Rating,Company Position Substantiated,Company Position Upheld,0,Closed,25
27546,Reliance Standard Life Insurance Company,7003828,8/25/2020,9/15/2020,Group,Disability Income,Claim Handling,Claim Procedure,Question of Fact/Contract/Provision/Legal Issue,Company Position Upheld,0,Closed,21
27551,Ohio Mutual Insurance Company,7047264,8/15/2022,8/26/2022,Individual Private Passenger,Liability,Claim Handling,Denial,Company Position Substantiated,Refer&ndash;Judicial/Attorney,0,Closed,11
27552,CSAA Affinity Insurance Company,7047421,8/22/2022,9/13/2022,Individual Private Passenger,Liability,Claim Handling,Claim Delays,Company Position Substantiated,Company Position Upheld,0,Closed,22
27553,Transamerica Life Insurance Company,7019253,5/24/2019,6/13/2019,Individual Annuities,Liability,Marketing & Sales,Misrepresentation,Question of Fact/Contract/Provision/Legal Issue,Company Position Upheld,0,Closed,20
27556,Pacific Specialty Insurance Company,7008099,9/21/2021,10/12/2021,Homeowners,Homeowners,Claim Handling,Claim Denial,Question of Fact/Contract/Provision/Legal Issue,Company Position Upheld,0,Closed,21
27557,Lafayette Life Insurance Company,7042792,2/8/2022,3/7/2022,Individual Life,Whole Life,Marketing & Sales,Suitability,Company Position Substantiated,Company Position Upheld,0,Closed,27
27558,Integon National Insurance Company,7020978,7/31/2019,8/27/2019,Individual Private Passenger,Liability,PolicyHolder Service,Delays/No Response,Company Position Substantiated,Company Position Upheld,0,Closed,27
27559,New South Insurance Company,7009527,5/19/2021,6/9/2021,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Claim Settled,Company Position Upheld,0,Closed,21
27562,Liberty Mutual Fire Insurance Company,7048954,10/27/2022,11/29/2022,Motorsport,Liability,Claim Handling,Adjuster Handling,Company Position Substantiated,Company Position Upheld,0,Closed,33
27564,CSAA Affinity Insurance Company,7022183,3/25/2019,4/4/2019,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Claim Settled,Company Position Upheld,0,Closed,10
27566,Harleysville Preferred Insurance Company,7021941,8/14/2019,10/22/2019,Condo/Townhome,Liability,Claim Handling,Claim Delay,Company Position Substantiated,Justified,0,Closed,69
27569,Allstate Fire and Casualty Insurance Company,7005225,12/8/2020,12/22/2020,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Company Position Substantiated,Company Position Upheld,0,Closed,14
27571,Standard Fire Insurance Company (The),7046532,7/14/2022,7/29/2022,Individual Private Passenger,Liability,Claim Handling,Denial,Company Position Substantiated,Company Position Upheld,0,Closed,15
27572,Bankers Life and Casualty Company,7000985,3/10/2020,3/31/2020,Individual Annuities,Liability,Marketing & Sales,Misrepresentation,Company Position Substantiated,Unjustified,0,Closed,21
27573,Ohio Mutual Insurance Company,7006395,10/13/2021,12/8/2021,Individual Private Passenger,Physical Damage,Claim Handling,Claim Procedure,Company Position Substantiated,Corrective Action,3430.19,Closed,56
27574,American Heritage Life Insurance Company,7018135,12/3/2019,12/19/2019,Group,Disability Income,Claim Handling,Claim Delay,No Action Requested/Required,Company Position Upheld,0,Closed,16
27575,RepWest Insurance Company,7000208,1/6/2020,1/16/2020,General,Liability,Claim Handling,Claim Denial,Company Position Substantiated,Unjustified,0,Closed,10
27576,"Anthem Health Plans, Inc",7010181,7/20/2021,9/9/2021,A & H,Liability,Claim Handling,Unsatisfactory Settlement/Offer,Question of Fact/Contract/Provision/Legal Issue,Company Position Upheld,0,Closed,51
27577,Esurance Insurance Company,7001035,3/12/2020,4/15/2020,Individual Private Passenger,Liability,PolicyHolder Service,Premium Notice/Billing,Company Position Substantiated,Company Position Upheld,0,Closed,34
27579,Omni Insurance Company,7017006,4/20/2018,5/22/2018,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Claim Settled,Company Position Upheld,0,Closed,32
27580,CSAA Affinity Insurance Company,7014974,5/18/2018,6/6/2018,Individual Private Passenger,Liability,Claim Handling,Subrogation,Claim Settled,Company Position Upheld,0,Closed,19
27581,Arbella Protection Insurance Company Inc.,7000031,1/10/2020,2/3/2020,Individual Private Passenger,Liability,Claim Handling,Claim Denial,Company Position Substantiated,Company Position Upheld,0,Closed,24
27583,Metropolitan Life Insurance Company,7011356,3/10/2021,3/19/2021,Individual Annuities,Liability,PolicyHolder Service,Delays/No Response,Company Position Substantiated,Corrective Action,0,Closed,9
27584,Progressive Casualty Insurance Company,7013172,10/9/2018,10/23/2018,Individual Private Passenger,Liability,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Unjustified,0,Closed,14
27586,Twin City Fire Insurance Company,7012285,11/9/2018,12/12/2018,Workers&squo; Compensation,Liability,Underwriting,Audit Dispute,Company Position Substantiated,Unjustified,853,Closed,33
27589,Progressive Direct Insurance Company,7051598,2/10/2023,3/6/2023,Individual Private Passenger,Comprehensive,Claim Handling,Claim Denial,Company Position Substantiated,Company Position Upheld,0,Closed,24
27597,CSAA Affinity Insurance Company,7009436,2/8/2021,2/19/2021,Individual Private Passenger,Liability,Claim Handling,Storage Fees,Company Position Substantiated,Company Position Upheld,186,Closed,11
27600,GEICO Indemnity Company,7006634,1/5/2018,1/29/2018,Individual Private Passenger,Liability,Claim Handling,Claim Procedure,Claim Settled,Company Position Upheld,0,Closed,24
27605,ConnectiCare Inc,7011971,2/7/2019,3/4/2019,Individual,Health Only,PolicyHolder Service,Unsatisfactory Refund of Premium,Compromised Settlement/Resolution,Company Position Upheld,2611.46,Closed,25
27606,Plymouth Rock Assurance Corporation,7049204,11/7/2022,11/29/2022,Homeowners,Liability,Underwriting,Non&ndash;Renewal,Company Position Substantiated,Company Position Upheld,0,Closed,22
27607,Progressive Direct Insurance Company,7006521,8/30/2021,10/4/2021,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Company Position Substantiated,Company Position Upheld,0,Closed,35
27608,Allstate Fire and Casualty Insurance Company,7033672,12/10/2019,12/27/2019,Individual Private Passenger,Physical Damage,Claim Handling,Storage Fees,Claim Settled,Company Position Upheld,0,Closed,17
27609,Garrison Property and Casualty Insurance Company,7021490,7/3/2019,7/30/2019,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Company Position Substantiated,Company Position Upheld,0,Closed,27
27611,Pacific Specialty Insurance Company,7049022,10/31/2022,11/29/2022,Individual Private Passenger,Liability,Claim Handling,Denial,Company Position Substantiated,Company Position Upheld,0,Closed,29
27613,Plymouth Rock Home Assurance Corporation,7049379,11/14/2022,11/29/2022,Homeowners,Liability,PolicyHolder Service,Premium Notice/Billing,Company Position Substantiated,Company Position Upheld,0,Closed,15
27614,LM General Insurance Company,7018688,10/31/2019,11/26/2019,Individual Private Passenger,Liability,Underwriting,Premium & Rating,Company Position Substantiated,Company Position Upheld,0,Closed,26
27615,"ConnectiCare Insurance Company, Inc",7002142,5/21/2020,6/23/2020,A & H,Liability,Claim Handling,Unsatisfactory Settlement/Offer,Question of Fact/Contract/Provision/Legal Issue,Company Position Upheld,0,Closed,33
27616,"Anthem Health Plans, Inc",7010156,7/19/2021,8/9/2021,Group,Health Only,Claim Handling,Claim Denial,Claim Settled,Company Position Upheld,26.27,Closed,21
27617,Government Employees Insurance Company,7018250,12/6/2019,12/31/2019,Individual Private Passenger,Liability,Claim Handling,Claim Procedure,Company Position Substantiated,Corrective Action,0,Closed,25
27619,Connecticut Attorneys Title Insurance Company,7008989,5/12/2021,6/30/2021,Title,Liability,Claim Handling,Claim Denial,No Action Requested/Required,Company Position Upheld,0,Closed,49
27620,Colonial Life & Accident Insurance Company,7021688,7/9/2019,7/23/2019,Individual,Disability Income,Claim Handling,Claim Delay,Claim Settled,Company Position Upheld,1600,Closed,14
27621,Plymouth Rock Assurance Corporation,7014247,1/29/2019,2/26/2019,Individual Private Passenger,Physical Damage,Claim Handling,Claim Denial,Question of Fact/Contract/Provision/Legal Issue,Company Position Upheld,0,Closed,28
27623,Garrison Property and Casualty Insurance Company,7003381,8/21/2020,9/8/2020,Individual Private Passenger,Liability,Claim Handling,Contributory Comparative Negligence,Company Position Substantiated,Company Position Upheld,0,Closed,18
27624,American Modern Home Insurance Company,7015046,8/9/2018,8/28/2018,Homeowners,Homeowners,Claim Handling,Claim Denial,Question of Fact/Contract/Provision/Legal Issue,Company Position Upheld,0,Closed,19
27625,AmTrust Insurance Company,7020011,7/18/2019,9/12/2019,Commercial Multi&ndash;Peril,Commercial Multi&ndash;Peril,Claim Handling,Claim Delay,Company Position Substantiated,Company Position Upheld,0,Closed,56
27626,"Foremost Insurance Company Grand Rapids, Michigan",7012734,3/1/2019,3/19/2019,Individual Private Passenger,Liability,Claim Handling,Actual Cash Value Dispute,Claim Settled,Company Position Upheld,0,Closed,18
27628,GEICO Indemnity Company,7019392,5/29/2019,7/17/2019,Individual Private Passenger,Liability,Claim Handling,Claim Denial,Question of Fact/Contract/Provision/Legal Issue,Company Position Upheld,0,Closed,49
27630,Century&ndash;National Insurance Company,7021645,5/3/2019,6/6/2019,Individual Private Passenger,Liability,PolicyHolder Service,Premium Notice/Billing,Company Position Substantiated,Satisfactory Explanation,536.94,Closed,34
27632,GEICO Indemnity Company,7005920,8/18/2021,9/7/2021,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Company Position Substantiated,Company Position Upheld,0,Closed,20
27640,Aetna Life Insurance Company,7020027,7/19/2019,7/25/2019,Individual,Dental,Claim Handling,Claim Denial,Company Position Substantiated,Company Position Upheld,0,Closed,6
27641,Liberty Mutual Personal Insurance Company,7042952,2/11/2022,3/14/2022,Individual Private Passenger,Liability,Underwriting,Cancellation,Company Position Substantiated,Company Position Upheld,0,Closed,31
27643,LM General Insurance Company,7041460,12/14/2021,5/25/2022,Individual Private Passenger,Liability,Claim Handling,Unsatisfactory Settlement,Company Position Substantiated,Company Position Upheld,0,Closed,162
27649,Allstate Fire and Casualty Insurance Company,7012276,11/8/2018,12/3/2018,Individual Private Passenger,Liability,Claim Handling,Storage Fees,Company Position Substantiated,Company Position Upheld,0,Closed,25
27652,GEICO General Insurance Company,7004176,9/17/2020,10/19/2020,Individual Private Passenger,Liability,PolicyHolder Service,Premium Notice/Billing,Company Position Substantiated,Company Position Upheld,0,Closed,32
27653,Wesco Insurance Company,7048980,10/28/2022,11/30/2022,Commercial Multi&ndash;Peril,Liability,Claim Handling,Adjuster Handling,Company Position Overturned,Questionable,3650.49,Closed,33
27655,ConnectiCare Inc,7014270,2/27/2019,4/1/2019,Group,Health Only,Claim Handling,Claim Delay,No Action Requested/Required,Company Position Upheld,0,Closed,33
27656,"Oxford Health Plans (CT), Inc",7049352,11/14/2022,11/30/2022,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,External Review Info Sent,0,Closed,16
27658,Plymouth Rock Assurance Corporation,7044767,4/28/2022,5/17/2022,Individual Private Passenger,Liability,Claim Handling,Loss of Use,Company Position Substantiated,Company Position Upheld,0,Closed,19
27659,Nationwide Agribusiness Insurance Company,7009849,2/16/2021,3/25/2021,Farm owner/Ranch owner,Farmowners,Underwriting,Cancellation,Compromised Settlement/Resolution,Other [Enter Disposition],0,Closed,37
27661,Hanover Insurance Company (The),7047547,8/29/2022,10/31/2022,Homeowners,Windstorm,Claim Handling,Claim Denial,Company Position Substantiated,Voluntary Reconsideration,15500,Closed,63
27662,"Oxford Health Plans (CT), Inc",7019574,5/30/2019,6/14/2019,Group,Health Only,Claim Handling,Eligibility of Provider,Question of Fact/Contract/Provision/Legal Issue,Company Position Upheld,0,Closed,15
27663,LM General Insurance Company,7001273,3/3/2020,3/18/2020,Individual Private Passenger,Liability,Claim Handling,Actual Cash Value Dispute,Company Position Substantiated,Company Position Upheld,0,Closed,15
27667,Farmington Casualty Company,7047993,9/16/2022,10/17/2022,Workers&squo; Compensation,Liability,Underwriting,Audit Dispute,Company Position Substantiated,Company Position Upheld,0,Closed,31
27668,LM General Insurance Company,7049463,11/15/2022,12/29/2022,Individual Private Passenger,Liability,Underwriting,Non&ndash;Renewal,Company Position Substantiated,Non&ndash;Renewal Upheld,0,Closed,44
27673,USAA General Indemnity Company,7004652,11/13/2020,12/1/2020,Individual Private Passenger,Medical Payments,Claim Handling,Claim Denial,Question of Fact/Contract/Provision/Legal Issue,Company Position Upheld,0,Closed,18
27674,"National Union Fire Insurance Company of Pittsburgh, PA",7019304,8/20/2019,9/24/2019,Travel,Liability,Claim Handling,Claim Denial,Company Position Substantiated,Company Position Upheld,0,Closed,35
27677,ConnectiCare Inc,7005034,12/11/2020,1/12/2021,Group,Health Only,Claim Handling,Claim Delay,No Action Requested/Required,Company Position Upheld,0,Closed,32
27678,Progressive Direct Insurance Company,7033676,12/30/2019,5/18/2020,Individual Private Passenger,Physical Damage,Claim Handling,Actual Cash Value Dispute,No Jurisdiction,Company Position Upheld,0,Closed,140
27680,"ConnectiCare Insurance Company, Inc",7014087,2/19/2019,3/15/2019,Group,Health Only,Claim Handling,Claim Denial,Question of Fact/Contract/Provision/Legal Issue,Company Position Upheld,0,Closed,24
27681,Nationwide Mutual Fire Insurance Company,7004895,11/4/2020,11/17/2020,Homeowners,Homeowners,Claim Handling,Claim Delay,Claim Settled,Company Position Upheld,0,Closed,13
27685,USAA Casualty Insurance Company,7003998,10/2/2020,10/22/2020,Individual Private Passenger,Physical Damage,Claim Handling,Claim Procedure,Company Position Substantiated,Company Position Upheld,0,Closed,20
27687,"Oxford Health Plans (CT), Inc",7049497,11/16/2022,11/30/2022,Group,Health Only,Underwriting,Cancellation,Company Position Substantiated,Voluntary Reconsideration,1858.41,Closed,14
27688,American Bankers Insurance Company of Florida,7010244,4/22/2021,5/14/2021,Extended Warranty & Service Contracts,Liability,Underwriting,No Subreason,No Action Requested/Required,Company Position Upheld,0,Closed,22
27689,Progressive Direct Insurance Company,7001103,3/17/2020,4/23/2020,Individual Private Passenger,Liability,Underwriting,Premium & Rating,Compromised Settlement/Resolution,Company Position Upheld,102.17,Closed,37
27690,Progressive Direct Insurance Company,7016115,6/7/2018,7/10/2018,Individual Private Passenger,Liability,Claim Handling,Actual Cash Value Dispute,Company Position Substantiated,Company Position Upheld,0,Closed,33
27691,Hartford Accident and Indemnity Company,7043892,3/21/2022,4/13/2022,Group,Disability Income,Claim Handling,Claim Delay,No Jurisdiction,Company Position Upheld,0,Closed,23
27694,Universal North America Insurance Company,7021332,8/5/2019,8/20/2019,Homeowners,Homeowners,Claim Handling,Claim Delay,Company Position Substantiated,Company Position Upheld,0,Closed,15
27699,Allstate Fire and Casualty Insurance Company,7004592,11/10/2020,11/30/2020,Individual Private Passenger,Liability,Marketing & Sales,High Pressure Tactics,Company Position Substantiated,Company Position Upheld,0,Closed,20
27701,Transamerica Life Insurance Company,7049388,11/14/2022,11/30/2022,Individual,Long Term Care,Underwriting,Premium/Rate Increase,Company Position Substantiated,Rate Increase Explained,0,Closed,16
27704,Nationwide General Insurance Company,7021092,6/25/2019,7/26/2019,Homeowners,Homeowners,Claim Handling,Claim Delay,Company Position Substantiated,Corrective Action,0,Closed,31
27707,United States Fire Insurance Company,7014071,2/15/2019,3/7/2019,Travel,Liability,Claim Handling,Claim Denial,Question of Fact/Contract/Provision/Legal Issue,Company Position Upheld,0,Closed,20
27708,Allstate Fire and Casualty Insurance Company,7017731,3/19/2018,4/11/2018,Individual Private Passenger,Physical Damage,Claim Handling,Claim Delay,Company Position Substantiated,Company Position Upheld,0,Closed,23
27709,GEICO Indemnity Company,7046860,7/28/2022,8/8/2022,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Company Position Substantiated,Corrective Action,0,Closed,11
27712,LM General Insurance Company,7018738,12/27/2019,1/15/2020,Individual Private Passenger,Liability,Claim Handling,Diminished Value,No Jurisdiction,Company Position Upheld,0,Closed,19
27713,Progressive Casualty Insurance Company,7047990,9/16/2022,10/14/2022,Individual Private Passenger,Collision,Underwriting,Coverage Denied,Company Position Substantiated,Corrective Action,0,Closed,28
27714,CSAA Fire & Casualty Insurance Company,7006402,10/13/2021,10/19/2021,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Company Position Substantiated,No Action Necessary,0,Closed,6
27718,Nationwide General Insurance Company,7042309,1/24/2022,3/11/2022,Individual Private Passenger,Physical Damage,Claim Handling,Denial,Company Position Substantiated,Claim Paid,0,Closed,46
27720,CSAA Fire & Casualty Insurance Company,7013009,10/5/2018,11/1/2018,Homeowners,Homeowners,Claim Handling,Claim Delay,Company Position Substantiated,Company Position Upheld,0,Closed,27
27722,Century&ndash;National Insurance Company,7019692,8/27/2019,9/9/2019,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Company Position Substantiated,Company Position Upheld,0,Closed,13
27723,State Farm Fire & Casualty Company,7011392,3/18/2021,4/8/2021,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Claim Settled,Company Position Upheld,0,Closed,21
27724,Esurance Insurance Company,7000421,2/4/2020,2/27/2020,Individual Private Passenger,Physical Damage,Claim Handling,Unsatisfactory Settlement/Offer,Claim Settled,Company Position Upheld,1395.63,Closed,23
27727,Argonaut Insurance Company,7022101,8/15/2019,9/5/2019,General,Liability,Claim Handling,Claim Denial,Company Position Substantiated,Company Position Upheld,0,Closed,21
27730,Trumbull Insurance Company,7050770,1/13/2023,2/6/2023,Individual Private Passenger,Collision,Claim Handling,Claim Denial,Company Position Substantiated,Contract Provision,0,Closed,24
27732,Allstate Property and Casualty Insurance Company,7005020,12/10/2020,12/18/2020,Individual Private Passenger,Physical Damage,Claim Handling,Claim Delay,Company Position Substantiated,Company Position Upheld,0,Closed,8
27733,"Foremost Insurance Company Grand Rapids, Michigan",7018714,12/24/2019,1/14/2020,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Claim Settled,Company Position Upheld,667.88,Closed,21
27737,Plymouth Rock Home Assurance Corporation,7006156,8/24/2021,12/23/2021,Condo/Townhome,Condo Unit Owner,Claim Handling,Claim Denial,Company Position Substantiated,Company Position Upheld,0,Closed,121
27739,Homesite Insurance Company,7017250,6/25/2018,7/17/2018,Homeowners,Homeowners,Claim Handling,Claim Delay,Company Position Substantiated,Company Position Upheld,0,Closed,22
27741,USAA Casualty Insurance Company,7009623,2/10/2021,2/23/2021,Individual Private Passenger,Liability,Claim Handling,Claim Denial,Company Position Substantiated,Company Position Upheld,0,Closed,13
27748,NGM Insurance Company,7012444,11/9/2018,11/27/2018,Homeowners,Homeowners,Claim Handling,Claim Procedure,Question of Fact/Contract/Provision/Legal Issue,Company Position Upheld,0,Closed,18
27749,Old Dominion Insurance Company,7017509,3/15/2018,4/3/2018,Individual Private Passenger,Physical Damage,Claim Handling,Loss of Use,Question of Fact/Contract/Provision/Legal Issue,Company Position Upheld,0,Closed,19
27750,"National Union Fire Insurance Company of Pittsburgh, PA",7004761,11/20/2020,12/29/2020,Travel,Liability,Claim Handling,Claim Denial,Claim Settled,Satisfactory Explanation,0,Closed,39
27752,Progressive Direct Insurance Company,7022226,5/13/2019,6/14/2019,Individual Private Passenger,Physical Damage,Claim Handling,Claim Delay,Company Position Substantiated,Company Position Upheld,0,Closed,32
27757,Infinity Standard Insurance Company,7014324,10/24/2018,11/19/2018,Individual Private Passenger,Liability,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Company Position Upheld,0,Closed,26
27758,General Insurance Company of America,7049209,11/7/2022,11/30/2022,Homeowners,Liability,Claim Handling,Unsatisfactory Settlement,Company Position Substantiated,Company Position Upheld,0,Closed,23
27759,Progressive Casualty Insurance Company,7018404,10/22/2019,11/20/2019,Individual Private Passenger,Physical Damage,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Company Position Upheld,0,Closed,29
27764,AmGUARD Insurance Company,7004520,10/21/2020,11/4/2020,Workers&squo; Compensation,Liability,Underwriting,Audit Dispute,Company Position Substantiated,Company Position Upheld,0,Closed,14
27766,LM General Insurance Company,7010861,5/4/2021,5/20/2021,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Claim Settled,Company Position Upheld,0,Closed,16
27767,GEICO General Insurance Company,7021033,4/23/2019,5/30/2019,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Company Position Substantiated,Company Position Upheld,0,Closed,37
27769,Twin City Fire Insurance Company,7001093,3/16/2020,3/25/2020,General,Liability,Claim Handling,Claim Denial,Company Position Substantiated,Company Position Upheld,0,Closed,9
27774,SAFECO Insurance Company of Illinois,7004864,11/2/2020,11/19/2020,Individual Private Passenger,Liability,Claim Handling,Claim Denial,Company Position Substantiated,Unjustified,0,Closed,17
27776,United Services Automobile Association,7004966,12/3/2020,1/4/2021,Individual Private Passenger,Liability,Claim Handling,Contributory Comparative Negligence,Company Position Substantiated,Unjustified,0,Closed,32
27777,"Oxford Health Plans (CT), Inc",7003903,9/28/2020,11/5/2020,Group,Health Only,Claim Handling,Claim Denial,Claim Settled,Company Position Upheld,65,Closed,38
27779,American Family Life Assurance Company of Columbus,7003044,7/13/2020,8/26/2020,Individual,Cancer/Dread Disease,Claim Handling,Unsatisfactory Settlement/Offer,Question of Fact/Contract/Provision/Legal Issue,Company Position Upheld,0,Closed,44
27783,Progressive Casualty Insurance Company,7013146,2/25/2019,4/1/2019,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Company Position Substantiated,Unjustified,0,Closed,35
27785,State Farm Mutual Automobile Insurance Company,7033702,7/15/2020,11/9/2020,Individual Private Passenger,Physical Damage,Claim Handling,Diminished Value,No Jurisdiction,Company Position Upheld,0,Closed,117
27788,Farmers Group Property and Casualty Insurance Company,7012410,9/25/2018,12/5/2018,Individual Private Passenger,Liability,Claim Handling,Claim Procedure,Company Position Substantiated,Justified,870.91,Closed,71
27790,United States Liability Insurance Company,7009878,4/16/2021,5/4/2021,Dwelling Fire,Liability,PolicyHolder Service,Unsatisfactory Refund of Premium,Compromised Settlement/Resolution,Company Position Upheld,0,Closed,18
27791,EastGUARD Insurance Company,7005006,12/9/2020,1/29/2021,Workers&squo; Compensation,Liability,Underwriting,Audit Dispute,Company Position Substantiated,Justified,12541,Closed,51
27793,Nationwide Mutual Insurance Company,7006726,8/31/2021,11/19/2021,Travel,Liability,Claim Handling,Claim Denial,Company Position Substantiated,Company Position Upheld,0,Closed,80
27798,State Farm Fire & Casualty Company,7048993,10/28/2022,12/2/2022,Individual Private Passenger,Liability,Claim Handling,Claim Delays,Company Position Substantiated,Company Position Upheld,0,Closed,35
27800,Allianz Global Risks US Insurance Company,7007089,9/7/2021,11/24/2021,Travel,Liability,Claim Handling,Claim Delay,Company Position Substantiated,Company Position Upheld,0,Closed,78
27801,SAFECO Insurance Company of Illinois,7006500,8/27/2021,9/16/2021,Individual Private Passenger,Physical Damage,Claim Handling,Unsatisfactory Settlement/Offer,Question of Fact/Contract/Provision/Legal Issue,Company Position Upheld,0,Closed,20
27802,Utica National Insurance Company of Ohio,7004092,10/9/2020,10/28/2020,Individual Private Passenger,Liability,Underwriting,Premium & Rating,Company Position Substantiated,Company Position Upheld,0,Closed,19
27803,Allstate Insurance Company,7000936,2/11/2020,3/9/2020,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Company Position Substantiated,Company Position Upheld,0,Closed,27
27806,Pacific Specialty Insurance Company,7004546,10/14/2020,11/10/2020,General,Liability,Claim Handling,Claim Denial,Company Position Substantiated,Unjustified,0,Closed,27
27807,Indian Harbor Insurance Company,7019255,5/24/2019,6/11/2019,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Company Position Substantiated,Company Position Upheld,0,Closed,18
27808,Globe Life and Accident Insurance Company,7010118,6/1/2021,6/23/2021,Individual Life,Liability,Underwriting,Premium & Rating,Question of Fact/Contract/Provision/Legal Issue,Company Position Upheld,0,Closed,22
27811,Chubb National Insurance Company,7019681,8/27/2019,9/19/2019,Individual Annuities,Liability,PolicyHolder Service,Delays/No Response,Company Position Substantiated,Company Position Upheld,0,Closed,23
